Frame,Wavelength,Intensity
1,661.93187502224248,645
1,661.99703623401865,635
1,662.062195564123,603
1,662.12735301046348,613
1,662.19250857094789,618
1,662.25766224348376,620
1,662.32281402597869,627
1,662.38796391634037,629
1,662.45311191247572,614
1,662.51825801229245,611
1,662.58340221369781,612
1,662.64854451459894,613
1,662.71368491290275,614
1,662.77882340651649,609
1,662.843959993347,616
1,662.9090946713012,606
1,662.97422743828577,624
1,663.03935829220745,606
1,663.10448723097306,608
1,663.16961425248894,623
1,663.23473935466177,621
1,663.29986253539778,634
1,663.36498379260343,618
1,663.430103124185,617
1,663.49522052804855,612
1,663.56033600210037,629
1,663.62544954424629,615
1,663.69056115239255,619
1,663.75567082444491,631
1,663.82077855830914,617
1,663.885884351891,622
1,663.95098820309636,615
1,664.01609010983066,612
1,664.08119006999948,617
1,664.14628808150826,620
1,664.21138414226243,613
1,664.27647825016732,623
1,664.34157040312812,622
1,664.40666059905016,616
1,664.47174883583853,621
1,664.53683511139832,613
1,664.60191942363429,632
1,664.66700177045141,609
1,664.73208214975477,620
1,664.7971605594488,623
1,664.86223699743846,607
1,664.92731146162851,613
1,664.99238394992312,610
1,665.05745446022706,614
1,665.12252299044485,613
1,665.18758953848055,605
1,665.25265410223858,621
1,665.31771667962346,608
1,665.382777268539,620
1,665.44783586688959,624
1,665.5128924725791,620
1,665.5779470835115,627
1,665.64299969759088,618
1,665.708050312721,617
1,665.77309892680557,616
1,665.83814553774835,614
1,665.90319014345312,616
1,665.96823274182339,625
1,666.03327333076265,612
1,666.09831190817442,619
1,666.16334847196219,620
1,666.22838302002924,610
1,666.29341555027884,616
1,666.35844606061426,627
1,666.42347454893866,605
1,666.4885010131552,609
1,666.55352545116682,622
1,666.61854786087656,632
1,666.68356824018724,609
1,666.74858658700191,612
1,666.81360289922338,612
1,666.87861717475425,620
1,666.94362941149745,626
1,667.00863960735535,607
1,667.07364776023064,623
1,667.13865386802581,611
1,667.20365792864334,608
1,667.2686599399857,613
1,667.33365989995514,605
1,667.39865780645391,632
1,667.4636536573845,613
1,667.5286474506488,616
1,667.59363918414908,622
1,667.65862885578747,627
1,667.72361646346587,614
1,667.78860200508609,619
1,667.85358547855026,618
1,667.9185668817604,620
1,667.983546212618,611
