Frame,Wavelength,Intensity
1,661.93187502224248,634
1,661.99703623401865,636
1,662.062195564123,629
1,662.12735301046348,637
1,662.19250857094789,622
1,662.25766224348376,624
1,662.32281402597869,632
1,662.38796391634037,606
1,662.45311191247572,635
1,662.51825801229245,619
1,662.58340221369781,629
1,662.64854451459894,623
1,662.71368491290275,622
1,662.77882340651649,622
1,662.843959993347,626
1,662.9090946713012,620
1,662.97422743828577,624
1,663.03935829220745,622
1,663.10448723097306,618
1,663.16961425248894,618
1,663.23473935466177,622
1,663.29986253539778,615
1,663.36498379260343,625
1,663.430103124185,619
1,663.49522052804855,615
1,663.56033600210037,628
1,663.62544954424629,616
1,663.69056115239255,614
1,663.75567082444491,614
1,663.82077855830914,620
1,663.885884351891,627
1,663.95098820309636,610
1,664.01609010983066,616
1,664.08119006999948,613
1,664.14628808150826,623
1,664.21138414226243,617
1,664.27647825016732,620
1,664.34157040312812,618
1,664.40666059905016,636
1,664.47174883583853,618
1,664.53683511139832,637
1,664.60191942363429,623
1,664.66700177045141,638
1,664.73208214975477,622
1,664.7971605594488,617
1,664.86223699743846,605
1,664.92731146162851,624
1,664.99238394992312,622
1,665.05745446022706,621
1,665.12252299044485,628
1,665.18758953848055,612
1,665.25265410223858,621
1,665.31771667962346,611
1,665.382777268539,621
1,665.44783586688959,606
1,665.5128924725791,624
1,665.5779470835115,612
1,665.64299969759088,624
1,665.708050312721,615
1,665.77309892680557,612
1,665.83814553774835,610
1,665.90319014345312,624
1,665.96823274182339,617
1,666.03327333076265,626
1,666.09831190817442,615
1,666.16334847196219,615
1,666.22838302002924,620
1,666.29341555027884,622
1,666.35844606061426,627
1,666.42347454893866,625
1,666.4885010131552,626
1,666.55352545116682,628
1,666.61854786087656,616
1,666.68356824018724,612
1,666.74858658700191,618
1,666.81360289922338,626
1,666.87861717475425,620
1,666.94362941149745,626
1,667.00863960735535,626
1,667.07364776023064,608
1,667.13865386802581,617
1,667.20365792864334,611
1,667.2686599399857,616
1,667.33365989995514,629
1,667.39865780645391,617
1,667.4636536573845,603
1,667.5286474506488,619
1,667.59363918414908,614
1,667.65862885578747,614
1,667.72361646346587,618
1,667.78860200508609,625
1,667.85358547855026,616
1,667.9185668817604,624
1,667.983546212618,618
1,668.04852346902476,612
1,668.11349864888268,618
1,668.17847175009308,612
1,668.24344277055775,617
