Frame,Wavelength,Intensity
1,661.93187502224248,637
1,661.99703623401865,619
1,662.062195564123,609
1,662.12735301046348,618
1,662.19250857094789,630
1,662.25766224348376,614
1,662.32281402597869,627
1,662.38796391634037,617
1,662.45311191247572,617
1,662.51825801229245,612
1,662.58340221369781,606
1,662.64854451459894,622
1,662.71368491290275,613
1,662.77882340651649,621
1,662.843959993347,627
1,662.9090946713012,621
1,662.97422743828577,621
1,663.03935829220745,625
1,663.10448723097306,611
1,663.16961425248894,626
1,663.23473935466177,612
1,663.29986253539778,630
1,663.36498379260343,618
1,663.430103124185,621
1,663.49522052804855,626
1,663.56033600210037,612
1,663.62544954424629,627
1,663.69056115239255,630
1,663.75567082444491,617
1,663.82077855830914,622
1,663.885884351891,628
1,663.95098820309636,628
1,664.01609010983066,623
1,664.08119006999948,613
1,664.14628808150826,615
1,664.21138414226243,620
1,664.27647825016732,612
1,664.34157040312812,617
1,664.40666059905016,619
1,664.47174883583853,617
1,664.53683511139832,628
1,664.60191942363429,615
1,664.66700177045141,618
1,664.73208214975477,626
1,664.7971605594488,621
1,664.86223699743846,622
1,664.92731146162851,612
1,664.99238394992312,614
1,665.05745446022706,624
1,665.12252299044485,613
1,665.18758953848055,621
1,665.25265410223858,612
1,665.31771667962346,625
1,665.382777268539,618
1,665.44783586688959,624
1,665.5128924725791,618
1,665.5779470835115,625
1,665.64299969759088,624
1,665.708050312721,620
1,665.77309892680557,619
1,665.83814553774835,612
1,665.90319014345312,628
1,665.96823274182339,622
1,666.03327333076265,604
1,666.09831190817442,618
1,666.16334847196219,619
1,666.22838302002924,631
1,666.29341555027884,619
1,666.35844606061426,612
1,666.42347454893866,625
1,666.4885010131552,611
1,666.55352545116682,624
1,666.61854786087656,618
1,666.68356824018724,627
1,666.74858658700191,620
1,666.81360289922338,610
1,666.87861717475425,622
1,666.94362941149745,629
1,667.00863960735535,608
1,667.07364776023064,625
1,667.13865386802581,618
1,667.20365792864334,614
1,667.2686599399857,620
1,667.33365989995514,611
1,667.39865780645391,624
1,667.4636536573845,619
1,667.5286474506488,623
1,667.59363918414908,623
1,667.65862885578747,618
1,667.72361646346587,630
1,667.78860200508609,615
1,667.85358547855026,624
1,667.9185668817604,622
1,667.983546212618,623
1,668.04852346902476,614
1,668.11349864888268,614
1,668.17847175009308,619
1,668.24344277055775,626
1,668.30841170817826,621
1,668.37337856085583,615
1,668.43834332649215,626
1,668.50330600298855,637
1,668.56826658824616,624
1,668.63322508016654,634
1,668.6981814766508,624
1,668.76313577560006,625
1,668.82808797491532,626
1,668.893038072498,628
1,668.95798606624885,621
1,669.02293195406912,622
1,669.08787573385951,619
1,669.15281740352077,613
1,669.21775696095415,613
1,669.28269440406007,617
1,669.34762973073941,627
1,669.41256293889285,617
1,669.477494026421,623
1,669.5424229912245,619
1,669.60734983120392,617
1,669.67227454425972,632
1,669.73719712829234,611
1,669.8021175812022,624
1,669.86703590088973,625
1,669.93195208525515,630
1,669.99686613219876,626
1,670.06177803962089,623
1,670.12668780542174,625
1,670.19159542750128,605
1,670.25650090375984,627
1,670.321404232097,629
1,670.38630541041346,613
1,670.45120443660869,610
1,670.516101308583,630
1,670.5809960242359,625
1,670.64588858146737,623
1,670.71077897817736,639
1,670.77566721226549,629
1,670.84055328163151,613
1,670.90543718417507,636
1,670.97031891779591,616
1,671.03519848039355,622
1,671.10007586986762,625
1,671.16495108411755,617
1,671.22982412104284,612
1,671.29469497854313,619
1,671.35956365451761,625
1,671.42443014686569,623
1,671.48929445348676,614
1,671.55415657228,619
1,671.61901650114487,628
1,671.68387423798038,621
1,671.74872978068584,639
1,671.81358312716043,627
1,671.87843427530311,617
1,671.943283223013,614
1,672.00812996818945,610
1,672.07297450873091,636
1,672.13781684253672,629
1,672.20265696750573,627
1,672.267494881537,605
1,672.332330582529,621
1,672.39716406838113,615
1,672.46199533699155,624
1,672.52682438625948,613
1,672.59165121408364,612
1,672.65647581836254,602
1,672.72129819699478,629
1,672.78611834787921,627
1,672.85093626891444,630
1,672.915751957999,622
1,672.9805654130314,633
1,673.04537663191013,613
1,673.11018561253377,641
1,673.1749923528007,623
1,673.23979685060931,624
1,673.3045991038581,624
1,673.36939911044533,625
1,673.43419686826951,620
1,673.49899237522868,625
1,673.56378562922123,615
1,673.62857662814565,624
1,673.69336536989977,630
1,673.75815185238218,631
1,673.82293607349061,616
1,673.88771803112365,621
1,673.952497723179,627
1,674.0172751475551,629
1,674.08205030214981,615
1,674.14682318486132,603
1,674.21159379358755,619
1,674.27636212622633,630
1,674.34112818067592,612
1,674.405891954834,641
1,674.47065344659882,624
1,674.53541265386787,614
1,674.60016957453922,616
1,674.66492420651082,619
1,674.72967654768036,624
1,674.79442659594554,639
1,674.8591743492043,622
1,674.92391980535444,616
1,674.98866296229346,627
1,675.05340381791927,624
1,675.11814237012959,616
1,675.182878616822,628
1,675.24761255589408,623
1,675.31234418524355,619
1,675.377073502768,629
1,675.44180050636487,624
1,675.506525193932,610
1,675.57124756336691,623
1,675.635967612567,626
1,675.70068533942992,627
1,675.76540074185289,612
1,675.83011381773372,615
1,675.89482456496955,610
1,675.95953298145821,631
1,676.02423906509682,617
1,676.08894281378286,611
1,676.15364422541381,621
1,676.218343297887,627
1,676.28304002909977,632
1,676.34773441694938,619
1,676.41242645933335,625
1,676.47711615414892,622
1,676.54180349929345,623
1,676.60648849266408,619
1,676.67117113215818,611
1,676.7358514156731,612
1,676.80052934110586,621
1,676.86520490635382,621
1,676.92987810931425,625
1,676.99454894788437,630
1,677.05921741996133,637
1,677.12388352344226,624
1,677.18854725622441,629
1,677.2532086162048,626
1,677.31786760128091,633
1,677.38252420934941,625
1,677.447178438308,620
1,677.51183028605328,617
1,677.57647975048269,614
1,677.64112682949315,620
1,677.7057715209819,624
1,677.77041382284585,620
1,677.83505373298237,627
1,677.89969124928825,625
1,677.96432636966051,619
1,678.02895909199651,619
1,678.09358941419316,618
1,678.15821733414725,625
1,678.22284284975626,626
1,678.28746595891687,624
1,678.35208665952621,636
1,678.4167049494813,617
1,678.481320826679,628
1,678.54593428901671,621
1,678.61054533439108,615
1,678.67515396069916,615
1,678.73976016583811,615
1,678.8043639477047,626
1,678.868965304196,618
1,678.933564233209,624
1,678.99816073264071,633
1,679.062754800388,628
1,679.127346434348,636
1,679.19193563241765,614
1,679.25652239249382,614
1,679.32110671247335,622
1,679.38568859025349,619
1,679.450268023731,619
1,679.514845010803,623
1,679.57941954936655,622
1,679.64399163731832,631
1,679.70856127255536,618
1,679.77312845297479,617
1,679.83769317647329,638
1,679.902255440948,639
1,679.96681524429619,619
1,680.03137258441427,616
1,680.09592745919952,616
1,680.16047986654894,621
1,680.22502980435934,613
1,680.289577270528,640
1,680.35412226295136,626
1,680.418664779527,619
1,680.48320481815165,617
1,680.54774237672234,619
1,680.6122774531359,628
1,680.6768100452897,612
1,680.74134015108052,622
1,680.80586776840528,618
1,680.87039289516122,627
1,680.93491552924525,629
1,680.99943566855438,615
1,681.06395331098577,626
1,681.12846845443642,617
1,681.19298109680324,618
1,681.25749123598359,618
1,681.32199886987428,619
1,681.38650399637254,609
1,681.4510066133754,612
1,681.51550671877987,626
1,681.58000431048322,622
1,681.64449938638256,617
1,681.70899194437493,626
1,681.77348198235745,617
1,681.83796949822738,614
1,681.90245448988173,617
1,681.96693695521776,624
1,682.03141689213271,628
1,682.09589429852372,622
1,682.1603691722878,627
1,682.22484151132244,617
1,682.28931131352488,622
1,682.35377857679214,624
1,682.41824329902158,628
1,682.48270547811057,612
1,682.54716511195625,631
1,682.611622198456,627
1,682.676076735507,618
1,682.74052872100674,631
1,682.80497815285241,611
1,682.86942502894158,629
1,682.93386934717148,626
1,682.99831110543948,621
1,683.062750301643,635
1,683.12718693367958,634
1,683.19162099944629,635
1,683.256052496841,625
1,683.32048142376107,635
1,683.384907778104,612
1,683.4493315577671,619
1,683.513752760648,635
1,683.57817138464441,639
1,683.64258742765378,648
1,683.7070008875736,630
1,683.77141176230157,627
1,683.83582004973528,611
1,683.90022574777242,627
1,683.9646288543106,621
1,684.02902936724763,640
1,684.09342728448109,613
1,684.15782260390858,623
1,684.222215323428,619
1,684.28660544093725,626
1,684.35099295433406,626
1,684.415377861516,619
1,684.47976016038115,624
1,684.54413984882729,624
1,684.60851692475239,630
1,684.67289138605418,647
1,684.73726323063079,632
1,684.80163245637993,642
1,684.86599906119989,629
1,684.93036304298857,622
1,684.99472439964393,622
1,685.059083129064,617
1,685.123439229147,627
1,685.187792697791,612
1,685.252143532894,622
1,685.31649173235439,638
1,685.38083729407015,633
1,685.44518021593979,619
1,685.50952049586124,623
1,685.57385813173278,610
1,685.638193121453,604
1,685.70252546292011,636
1,685.76685515403244,615
1,685.83118219268829,619
1,685.89550657678615,627
1,685.95982830422452,632
1,686.024147372902,617
1,686.08846378071667,612
1,686.15277752556756,629
1,686.21708860535307,623
1,686.2813970179717,613
1,686.34570276132229,618
1,686.41000583330344,618
1,686.47430623181367,625
1,686.53860395475181,613
1,686.60289900001681,623
1,686.66719136550728,628
1,686.73148104912218,625
1,686.79576804876035,640
1,686.86005236232063,632
1,686.924333987702,632
1,686.98861292280344,627
1,687.05288916552388,614
1,687.11716271376258,624
1,687.18143356541839,617
1,687.24570171839048,640
1,687.30996717057815,623
1,687.37422991988046,637
1,687.43848996419661,618
1,687.502747301426,614
1,687.56700192946778,627
1,687.6312538462214,624
1,687.69550304958625,628
1,687.75974953746174,627
1,687.82399330774729,618
1,687.8882343583424,644
1,687.95247268714661,617
1,688.01670829205943,616
1,688.08094117098074,614
1,688.14517132180993,633
1,688.20939874244675,616
1,688.273623430791,637
1,688.33784538474242,618
1,688.40206460220088,614
1,688.46628108106609,628
1,688.53049481923813,626
1,688.594705814617,626
1,688.65891406510252,641
1,688.72311956859494,632
1,688.7873223229941,636
1,688.85152232620021,610
1,688.91571957611359,617
1,688.97991407063421,618
1,689.04410580766239,634
1,689.10829478509868,619
1,689.172481000843,620
1,689.23666445279628,632
1,689.30084513885845,629
1,689.36502305693034,629
1,689.42919820491238,619
1,689.493370580705,608
1,689.557540182209,624
1,689.6217070073252,620
1,689.685871053954,632
1,689.75003231999631,628
1,689.814190803353,631
1,689.878346501925,629
1,689.94249941361284,628
1,690.006649536318,634
1,690.07079686794134,638
1,690.13494140638375,629
1,690.1990831495466,624
1,690.26322209533089,626
1,690.32735824163785,618
1,690.39149158636883,624
1,690.45562212742516,624
1,690.51974986270818,627
1,690.58387479011924,627
1,690.6479969075599,636
1,690.71211621293185,618
1,690.77623270413642,633
1,690.84034637907541,630
1,690.9044572356504,624
1,690.96856527176328,642
1,691.03267048531563,626
1,691.09677287420971,634
1,691.16087243634706,629
1,691.22496916962973,625
1,691.28906307196,609
1,691.35315414123966,613
1,691.41724237537085,637
1,691.4813277722559,631
1,691.545410329797,621
1,691.60949004589668,634
1,691.67356691845691,623
1,691.73764094538035,628
1,691.80171212456946,630
1,691.86578045392685,619
1,691.929845931355,611
1,691.99390855475667,618
1,692.05796832203441,615
1,692.12202523109124,619
1,692.18607927982987,627
1,692.25013046615322,626
1,692.31417878796412,640
1,692.37822424316585,631
1,692.44226682966132,631
1,692.50630654535371,644
1,692.57034338814628,622
1,692.63437735594221,620
1,692.69840844664486,633
1,692.76243665815775,620
1,692.82646198838415,615
1,692.89048443522779,632
1,692.954503996592,626
1,693.01852067038055,618
1,693.08253445449736,631
1,693.14654534684587,624
1,693.21055334533014,634
1,693.274558447854,621
1,693.33856065232169,628
1,693.40255995663665,632
1,693.46655635870343,638
1,693.53054985642632,618
1,693.59454044770928,616
1,693.6585281304566,612
1,693.72251290257293,615
1,693.78649476196244,619
1,693.85047370652978,618
1,693.9144497341797,629
1,693.97842284281649,629
1,694.042393030345,623
1,694.10636029467014,630
1,694.17032463369674,624
1,694.23428604532967,621
1,694.29824452747391,617
1,694.36220007803456,615
1,694.42615269491682,619
1,694.4901023760259,626
1,694.55404911926712,643
1,694.61799292254557,637
1,694.68193378376691,632
1,694.7458717008368,624
1,694.80980667166045,638
1,694.87373869414364,625
1,694.93766776619225,625
1,695.001593885712,618
1,695.06551705060861,636
1,695.12943725878824,634
1,695.19335450815674,634
1,695.25726879662034,625
1,695.32118012208514,625
1,695.38508848245738,629
1,695.4489938756434,624
1,695.51289629954954,623
1,695.57679575208226,631
1,695.64069223114836,633
1,695.7045857346543,624
1,695.76847626050676,646
1,695.83236380661253,622
1,695.89624837087842,628
1,695.96012995121157,632
1,696.02400854551877,621
1,696.08788415170739,626
1,696.15175676768422,618
1,696.215626391357,643
1,696.27949302063269,636
1,696.34335665341882,646
1,696.407217287623,645
1,696.47107492115276,618
1,696.53492955191564,637
1,696.59878117781955,617
1,696.66262979677219,630
1,696.72647540668152,615
1,696.79031800545556,645
1,696.85415759100238,632
1,696.91799416123013,632
1,696.9818277140472,636
1,697.04565824736153,607
1,697.10948575908185,622
1,697.17331024711666,637
1,697.23713170937447,635
1,697.30095014376388,632
1,697.36476554819365,644
1,697.42857792057271,624
1,697.49238725880991,620
1,697.55619356081434,626
1,697.619996824495,629
1,697.68379704776123,629
1,697.74759422852208,625
1,697.811388364687,634
1,697.8751794541655,637
1,697.938967494867,638
1,698.00275248470132,638
1,698.066534421578,616
1,698.13031330340687,620
1,698.19408912809786,638
1,698.25786189356086,620
1,698.32163159770607,637
1,698.3853982384436,627
1,698.44916181368376,632
1,698.51292232133676,622
1,698.57667975931315,611
1,698.64043412552348,617
1,698.70418541787819,624
1,698.767933634288,631
1,698.83167877266408,644
1,698.89542083091692,634
1,698.95915980695781,641
1,699.02289569869754,628
1,699.08662850404755,619
1,699.150358220919,626
1,699.21408484722315,634
1,699.27780838087176,628
1,699.34152881977593,623
1,699.4052461618478,628
1,699.46896040499882,626
1,699.53267154714092,627
1,699.596379586186,629
1,699.66008452004633,619
1,699.72378634663369,630
1,699.78748506386057,608
1,699.85118066963912,632
1,699.91487316188193,634
1,699.97856253850148,624
1,700.04224879741025,623
1,700.10593193652119,632
1,700.169611953747,634
1,700.23328884700072,637
1,700.29696261419508,625
1,700.36063325324369,634
1,700.42430076205937,631
1,700.48796513855552,649
1,700.55162638064564,632
1,700.61528448624324,641
1,700.67893945326193,630
1,700.74259127961557,628
1,700.80623996321776,643
1,700.86988550198271,645
1,700.93352789382425,634
1,700.99716713665657,630
1,701.060803228394,628
1,701.12443616695066,629
1,701.18806595024137,634
1,701.2516925761804,626
1,701.31531604268253,614
1,701.37893634766272,616
1,701.44255348903539,623
1,701.50616746471587,640
1,701.56977827261915,637
1,701.63338591066054,624
1,701.69699037675514,631
1,701.76059166881862,639
1,701.82418978476619,636
1,701.88778472251374,644
1,701.95137647997672,636
1,702.01496505507134,625
1,702.07855044571329,641
1,702.14213264981868,634
1,702.20571166530374,625
1,702.26928749008471,651
1,702.33286012207793,636
1,702.3964295592,630
1,702.45999579936745,639
1,702.523558840497,630
1,702.58711868050557,620
1,702.65067531731006,624
1,702.71422874882751,639
1,702.77777897297517,627
1,702.84132598767019,640
1,702.90486979082993,633
1,702.96841038037212,627
1,703.03194775421423,618
1,703.095481910274,638
