Frame,Wavelength,Intensity
1,661.93187502224248,1670
1,661.99703623401865,1621
1,662.062195564123,1738
1,662.12735301046348,1670
1,662.19250857094789,1704
1,662.25766224348376,1622
1,662.32281402597869,1716
1,662.38796391634037,1715
1,662.45311191247572,1663
1,662.51825801229245,1654
1,662.58340221369781,1751
1,662.64854451459894,1676
1,662.71368491290275,1649
1,662.77882340651649,1672
1,662.843959993347,10456
1,662.9090946713012,2474
1,662.97422743828577,1650
1,663.03935829220745,1628
1,663.10448723097306,1648
1,663.16961425248894,1604
1,663.23473935466177,1704
1,663.29986253539778,1646
1,663.36498379260343,1668
1,663.430103124185,1672
1,663.49522052804855,1537
1,663.56033600210037,1646
1,663.62544954424629,1696
1,663.69056115239255,1622
1,663.75567082444491,1650
1,663.82077855830914,1594
1,663.885884351891,1633
1,663.95098820309636,1626
1,664.01609010983066,1654
1,664.08119006999948,1623
1,664.14628808150826,1659
1,664.21138414226243,1668
1,664.27647825016732,1670
1,664.34157040312812,1578
1,664.40666059905016,1582
1,664.47174883583853,1648
1,664.53683511139832,1626
1,664.60191942363429,1612
1,664.66700177045141,1710
1,664.73208214975477,1649
1,664.7971605594488,1615
1,664.86223699743846,1701
1,664.92731146162851,1661
1,664.99238394992312,1656
1,665.05745446022706,1670
1,665.12252299044485,1673
1,665.18758953848055,1639
1,665.25265410223858,1625
1,665.31771667962346,1603
1,665.382777268539,1671
1,665.44783586688959,1699
1,665.5128924725791,1661
1,665.5779470835115,1644
1,665.64299969759088,1683
1,665.708050312721,1701
1,665.77309892680557,1650
1,665.83814553774835,1646
1,665.90319014345312,1633
1,665.96823274182339,1663
1,666.03327333076265,1702
1,666.09831190817442,1617
1,666.16334847196219,1669
1,666.22838302002924,1673
1,666.29341555027884,1576
1,666.35844606061426,1659
1,666.42347454893866,1662
1,666.4885010131552,1672
1,666.55352545116682,1684
1,666.61854786087656,1676
1,666.68356824018724,1643
1,666.74858658700191,1628
1,666.81360289922338,1736
1,666.87861717475425,1683
1,666.94362941149745,1701
1,667.00863960735535,1646
1,667.07364776023064,1650
1,667.13865386802581,1651
1,667.20365792864334,1644
1,667.2686599399857,1667
1,667.33365989995514,1700
1,667.39865780645391,1675
1,667.4636536573845,1639
1,667.5286474506488,1665
1,667.59363918414908,1667
1,667.65862885578747,1629
1,667.72361646346587,1609
1,667.78860200508609,1606
1,667.85358547855026,1668
1,667.9185668817604,1685
1,667.983546212618,1674
1,668.04852346902476,1615
1,668.11349864888268,1697
1,668.17847175009308,1669
1,668.24344277055775,1556
1,668.30841170817826,1636
1,668.37337856085583,1695
1,668.43834332649215,1639
1,668.50330600298855,1731
1,668.56826658824616,1673
1,668.63322508016654,1708
1,668.6981814766508,1710
1,668.76313577560006,1693
1,668.82808797491532,1660
1,668.893038072498,1644
1,668.95798606624885,1648
1,669.02293195406912,1749
1,669.08787573385951,1637
1,669.15281740352077,1766
1,669.21775696095415,1720
1,669.28269440406007,1635
1,669.34762973073941,1632
1,669.41256293889285,1673
1,669.477494026421,1691
1,669.5424229912245,1683
1,669.60734983120392,1638
1,669.67227454425972,1687
1,669.73719712829234,1691
1,669.8021175812022,1678
1,669.86703590088973,1684
1,669.93195208525515,1647
1,669.99686613219876,1658
1,670.06177803962089,1700
1,670.12668780542174,1688
1,670.19159542750128,1687
1,670.25650090375984,1632
1,670.321404232097,1622
1,670.38630541041346,1749
1,670.45120443660869,1653
1,670.516101308583,1618
1,670.5809960242359,1665
1,670.64588858146737,1610
1,670.71077897817736,1685
1,670.77566721226549,1654
1,670.84055328163151,1704
1,670.90543718417507,1593
1,670.97031891779591,1728
1,671.03519848039355,1705
1,671.10007586986762,1631
1,671.16495108411755,1657
1,671.22982412104284,1696
1,671.29469497854313,1642
1,671.35956365451761,1713
1,671.42443014686569,1652
1,671.48929445348676,1691
1,671.55415657228,1651
1,671.61901650114487,1624
1,671.68387423798038,1714
1,671.74872978068584,1694
1,671.81358312716043,1653
1,671.87843427530311,1640
1,671.943283223013,1650
1,672.00812996818945,1719
1,672.07297450873091,1699
1,672.13781684253672,1654
1,672.20265696750573,1617
1,672.267494881537,1661
1,672.332330582529,1667
1,672.39716406838113,1652
1,672.46199533699155,1708
1,672.52682438625948,1704
1,672.59165121408364,1660
1,672.65647581836254,1671
