Frame,Wavelength,Intensity
1,661.93187502224248,1915
1,661.99703623401865,1881
1,662.062195564123,2036
1,662.12735301046348,1937
1,662.19250857094789,1934
1,662.25766224348376,1979
1,662.32281402597869,1986
1,662.38796391634037,1966
1,662.45311191247572,1999
1,662.51825801229245,1903
1,662.58340221369781,1991
1,662.64854451459894,4013
1,662.71368491290275,1941
1,662.77882340651649,1995
1,662.843959993347,1952
1,662.9090946713012,1892
1,662.97422743828577,1900
1,663.03935829220745,1895
1,663.10448723097306,1922
1,663.16961425248894,1862
1,663.23473935466177,1918
1,663.29986253539778,1820
1,663.36498379260343,1890
1,663.430103124185,1874
1,663.49522052804855,1813
1,663.56033600210037,1843
1,663.62544954424629,1893
1,663.69056115239255,1856
1,663.75567082444491,1831
1,663.82077855830914,1833
1,663.885884351891,1828
1,663.95098820309636,1778
1,664.01609010983066,1854
1,664.08119006999948,1773
1,664.14628808150826,1782
1,664.21138414226243,1821
1,664.27647825016732,1864
1,664.34157040312812,1772
1,664.40666059905016,1811
1,664.47174883583853,1798
1,664.53683511139832,1768
1,664.60191942363429,1765
1,664.66700177045141,1762
1,664.73208214975477,1822
1,664.7971605594488,1730
1,664.86223699743846,1768
1,664.92731146162851,1802
1,664.99238394992312,1809
1,665.05745446022706,1714
1,665.12252299044485,1778
1,665.18758953848055,1627
1,665.25265410223858,1677
1,665.31771667962346,1780
1,665.382777268539,1774
1,665.44783586688959,1702
1,665.5128924725791,1741
1,665.5779470835115,1736
1,665.64299969759088,1786
1,665.708050312721,1792
1,665.77309892680557,1709
1,665.83814553774835,1702
1,665.90319014345312,1695
1,665.96823274182339,1650
1,666.03327333076265,1663
1,666.09831190817442,1661
1,666.16334847196219,1680
1,666.22838302002924,1724
1,666.29341555027884,1652
1,666.35844606061426,1735
1,666.42347454893866,1694
1,666.4885010131552,1735
1,666.55352545116682,1674
1,666.61854786087656,1677
1,666.68356824018724,1713
1,666.74858658700191,1683
1,666.81360289922338,1700
1,666.87861717475425,1717
1,666.94362941149745,1643
1,667.00863960735535,1668
1,667.07364776023064,1622
1,667.13865386802581,1656
1,667.20365792864334,1634
1,667.2686599399857,1680
1,667.33365989995514,1711
1,667.39865780645391,1687
1,667.4636536573845,1709
1,667.5286474506488,1746
1,667.59363918414908,1655
1,667.65862885578747,1704
1,667.72361646346587,1598
1,667.78860200508609,1714
1,667.85358547855026,1657
1,667.9185668817604,1651
1,667.983546212618,1704
1,668.04852346902476,1649
1,668.11349864888268,1643
1,668.17847175009308,1675
1,668.24344277055775,1654
1,668.30841170817826,1700
1,668.37337856085583,1691
1,668.43834332649215,1653
1,668.50330600298855,1693
1,668.56826658824616,1696
1,668.63322508016654,1740
1,668.6981814766508,1678
1,668.76313577560006,1680
1,668.82808797491532,1707
1,668.893038072498,1632
1,668.95798606624885,9083
1,669.02293195406912,4442
1,669.08787573385951,1661
1,669.15281740352077,1684
1,669.21775696095415,1687
1,669.28269440406007,1682
1,669.34762973073941,1701
1,669.41256293889285,1695
1,669.477494026421,1684
1,669.5424229912245,1713
1,669.60734983120392,1663
1,669.67227454425972,1610
1,669.73719712829234,1670
1,669.8021175812022,1654
1,669.86703590088973,1706
1,669.93195208525515,1611
1,669.99686613219876,1667
1,670.06177803962089,1726
1,670.12668780542174,1648
1,670.19159542750128,1678
1,670.25650090375984,1689
1,670.321404232097,1663
1,670.38630541041346,1719
1,670.45120443660869,1708
1,670.516101308583,1674
1,670.5809960242359,1695
1,670.64588858146737,1666
1,670.71077897817736,1647
1,670.77566721226549,1647
1,670.84055328163151,1660
1,670.90543718417507,1630
1,670.97031891779591,1682
1,671.03519848039355,1714
1,671.10007586986762,1709
1,671.16495108411755,1618
1,671.22982412104284,1675
1,671.29469497854313,1638
1,671.35956365451761,1731
1,671.42443014686569,1689
1,671.48929445348676,1674
1,671.55415657228,1620
1,671.61901650114487,1626
1,671.68387423798038,1732
1,671.74872978068584,1715
1,671.81358312716043,1639
1,671.87843427530311,1628
1,671.943283223013,1718
1,672.00812996818945,1698
1,672.07297450873091,1710
1,672.13781684253672,1640
1,672.20265696750573,1649
1,672.267494881537,1644
1,672.332330582529,1696
1,672.39716406838113,1648
1,672.46199533699155,1726
1,672.52682438625948,1649
1,672.59165121408364,1640
1,672.65647581836254,1692
1,672.72129819699478,1703
1,672.78611834787921,1705
1,672.85093626891444,1618
1,672.915751957999,1666
1,672.9805654130314,1609
1,673.04537663191013,1701
1,673.11018561253377,1613
1,673.1749923528007,1672
1,673.23979685060931,1697
1,673.3045991038581,1692
1,673.36939911044533,1633
1,673.43419686826951,1655
1,673.49899237522868,1631
1,673.56378562922123,1675
1,673.62857662814565,1665
1,673.69336536989977,1638
1,673.75815185238218,1685
1,673.82293607349061,1718
1,673.88771803112365,1651
1,673.952497723179,1639
1,674.0172751475551,1640
1,674.08205030214981,1709
1,674.14682318486132,1686
1,674.21159379358755,1661
1,674.27636212622633,1679
1,674.34112818067592,1647
1,674.405891954834,1670
1,674.47065344659882,1741
1,674.53541265386787,1783
1,674.60016957453922,1730
1,674.66492420651082,1689
1,674.72967654768036,1652
1,674.79442659594554,1669
1,674.8591743492043,1699
1,674.92391980535444,1677
1,674.98866296229346,1681
1,675.05340381791927,1699
1,675.11814237012959,1677
1,675.182878616822,1663
1,675.24761255589408,1712
1,675.31234418524355,1668
1,675.377073502768,1617
1,675.44180050636487,1652
1,675.506525193932,1785
1,675.57124756336691,1651
1,675.635967612567,1715
1,675.70068533942992,1685
1,675.76540074185289,1684
1,675.83011381773372,1713
1,675.89482456496955,1710
1,675.95953298145821,1730
1,676.02423906509682,1665
1,676.08894281378286,1704
1,676.15364422541381,1642
1,676.218343297887,1656
1,676.28304002909977,1741
1,676.34773441694938,1678
1,676.41242645933335,1681
1,676.47711615414892,1669
1,676.54180349929345,1724
1,676.60648849266408,1715
1,676.67117113215818,1674
1,676.7358514156731,1749
1,676.80052934110586,1655
1,676.86520490635382,1678
1,676.92987810931425,1661
1,676.99454894788437,1719
1,677.05921741996133,1683
1,677.12388352344226,1671
1,677.18854725622441,1805
1,677.2532086162048,1661
1,677.31786760128091,1640
1,677.38252420934941,1697
1,677.447178438308,1656
1,677.51183028605328,1760
1,677.57647975048269,1686
1,677.64112682949315,1685
1,677.7057715209819,1739
1,677.77041382284585,1675
1,677.83505373298237,1657
1,677.89969124928825,1738
1,677.96432636966051,1729
1,678.02895909199651,1682
1,678.09358941419316,1755
1,678.15821733414725,1718
1,678.22284284975626,1723
1,678.28746595891687,1726
1,678.35208665952621,1702
1,678.4167049494813,1706
1,678.481320826679,1687
1,678.54593428901671,1735
1,678.61054533439108,1734
1,678.67515396069916,1720
1,678.73976016583811,1628
1,678.8043639477047,1774
1,678.868965304196,1704
1,678.933564233209,1706
1,678.99816073264071,1703
1,679.062754800388,1775
1,679.127346434348,1706
1,679.19193563241765,1682
1,679.25652239249382,1653
1,679.32110671247335,1784
1,679.38568859025349,1707
1,679.450268023731,1728
1,679.514845010803,1696
1,679.57941954936655,1652
1,679.64399163731832,1671
1,679.70856127255536,1743
1,679.77312845297479,1629
1,679.83769317647329,1676
1,679.902255440948,1698
1,679.96681524429619,1690
1,680.03137258441427,1661
1,680.09592745919952,1690
1,680.16047986654894,1652
1,680.22502980435934,1680
1,680.289577270528,1682
1,680.35412226295136,1727
1,680.418664779527,1760
1,680.48320481815165,1723
1,680.54774237672234,1690
1,680.6122774531359,1760
1,680.6768100452897,1681
1,680.74134015108052,1673
1,680.80586776840528,1724
1,680.87039289516122,1693
1,680.93491552924525,1728
1,680.99943566855438,1608
1,681.06395331098577,1710
1,681.12846845443642,1717
1,681.19298109680324,1646
1,681.25749123598359,1704
1,681.32199886987428,1684
1,681.38650399637254,1719
1,681.4510066133754,1649
1,681.51550671877987,1609
1,681.58000431048322,1775
1,681.64449938638256,1725
1,681.70899194437493,1687
1,681.77348198235745,1636
1,681.83796949822738,1774
1,681.90245448988173,1718
1,681.96693695521776,1689
1,682.03141689213271,1757
1,682.09589429852372,1792
1,682.1603691722878,1683
1,682.22484151132244,1735
1,682.28931131352488,1752
1,682.35377857679214,1776
1,682.41824329902158,1745
1,682.48270547811057,1740
1,682.54716511195625,1720
1,682.611622198456,1687
1,682.676076735507,1690
1,682.74052872100674,1712
1,682.80497815285241,1704
1,682.86942502894158,1732
1,682.93386934717148,1746
1,682.99831110543948,1761
1,683.062750301643,1733
1,683.12718693367958,1718
1,683.19162099944629,1734
1,683.256052496841,1743
1,683.32048142376107,1657
1,683.384907778104,1760
1,683.4493315577671,1684
