Frame,Wavelength,Intensity
1,661.93187502224248,610
1,661.99703623401865,596
1,662.062195564123,589
1,662.12735301046348,602
1,662.19250857094789,601
1,662.25766224348376,591
1,662.32281402597869,599
1,662.38796391634037,591
1,662.45311191247572,594
1,662.51825801229245,591
1,662.58340221369781,598
1,662.64854451459894,599
1,662.71368491290275,596
1,662.77882340651649,596
1,662.843959993347,591
1,662.9090946713012,591
1,662.97422743828577,591
1,663.03935829220745,597
1,663.10448723097306,595
1,663.16961425248894,595
1,663.23473935466177,604
1,663.29986253539778,600
1,663.36498379260343,589
1,663.430103124185,586
1,663.49522052804855,600
1,663.56033600210037,592
1,663.62544954424629,594
1,663.69056115239255,592
1,663.75567082444491,597
1,663.82077855830914,596
1,663.885884351891,593
1,663.95098820309636,600
1,664.01609010983066,604
1,664.08119006999948,606
1,664.14628808150826,602
1,664.21138414226243,605
1,664.27647825016732,600
1,664.34157040312812,601
1,664.40666059905016,593
1,664.47174883583853,604
1,664.53683511139832,592
1,664.60191942363429,592
1,664.66700177045141,598
1,664.73208214975477,593
1,664.7971605594488,605
1,664.86223699743846,612
1,664.92731146162851,607
1,664.99238394992312,602
1,665.05745446022706,605
1,665.12252299044485,604
1,665.18758953848055,612
1,665.25265410223858,613
1,665.31771667962346,603
1,665.382777268539,604
1,665.44783586688959,615
1,665.5128924725791,604
1,665.5779470835115,604
1,665.64299969759088,601
1,665.708050312721,593
1,665.77309892680557,598
1,665.83814553774835,606
1,665.90319014345312,598
1,665.96823274182339,607
1,666.03327333076265,617
1,666.09831190817442,608
1,666.16334847196219,611
1,666.22838302002924,610
1,666.29341555027884,606
1,666.35844606061426,610
1,666.42347454893866,617
1,666.4885010131552,609
1,666.55352545116682,612
1,666.61854786087656,611
1,666.68356824018724,602
1,666.74858658700191,609
1,666.81360289922338,598
1,666.87861717475425,619
1,666.94362941149745,614
1,667.00863960735535,613
1,667.07364776023064,629
1,667.13865386802581,619
1,667.20365792864334,621
1,667.2686599399857,626
1,667.33365989995514,624
1,667.39865780645391,614
1,667.4636536573845,618
1,667.5286474506488,626
1,667.59363918414908,609
1,667.65862885578747,621
1,667.72361646346587,604
1,667.78860200508609,617
1,667.85358547855026,638
1,667.9185668817604,616
1,667.983546212618,616
1,668.04852346902476,612
1,668.11349864888268,598
1,668.17847175009308,600
1,668.24344277055775,611
1,668.30841170817826,608
1,668.37337856085583,609
1,668.43834332649215,594
1,668.50330600298855,598
1,668.56826658824616,597
1,668.63322508016654,601
1,668.6981814766508,599
1,668.76313577560006,588
1,668.82808797491532,585
1,668.893038072498,590
1,668.95798606624885,585
1,669.02293195406912,586
1,669.08787573385951,589
1,669.15281740352077,585
1,669.21775696095415,582
1,669.28269440406007,583
1,669.34762973073941,596
1,669.41256293889285,585
1,669.477494026421,578
1,669.5424229912245,593
1,669.60734983120392,584
1,669.67227454425972,594
1,669.73719712829234,590
1,669.8021175812022,591
1,669.86703590088973,590
1,669.93195208525515,595
1,669.99686613219876,595
1,670.06177803962089,583
1,670.12668780542174,579
1,670.19159542750128,593
