Frame,Wavelength,Intensity
1,661.93187502224248,625
1,661.99703623401865,610
1,662.062195564123,610
1,662.12735301046348,606
1,662.19250857094789,597
1,662.25766224348376,602
1,662.32281402597869,598
1,662.38796391634037,610
1,662.45311191247572,597
1,662.51825801229245,599
1,662.58340221369781,604
1,662.64854451459894,609
1,662.71368491290275,607
1,662.77882340651649,604
1,662.843959993347,597
1,662.9090946713012,618
1,662.97422743828577,606
1,663.03935829220745,603
1,663.10448723097306,605
1,663.16961425248894,598
1,663.23473935466177,610
1,663.29986253539778,612
1,663.36498379260343,606
1,663.430103124185,601
1,663.49522052804855,614
1,663.56033600210037,603
1,663.62544954424629,610
1,663.69056115239255,611
1,663.75567082444491,600
1,663.82077855830914,602
1,663.885884351891,605
1,663.95098820309636,611
1,664.01609010983066,604
1,664.08119006999948,608
1,664.14628808150826,602
1,664.21138414226243,609
1,664.27647825016732,614
1,664.34157040312812,618
1,664.40666059905016,612
1,664.47174883583853,615
1,664.53683511139832,610
1,664.60191942363429,609
1,664.66700177045141,620
1,664.73208214975477,616
1,664.7971605594488,620
1,664.86223699743846,618
1,664.92731146162851,620
1,664.99238394992312,635
1,665.05745446022706,614
1,665.12252299044485,627
1,665.18758953848055,615
1,665.25265410223858,627
1,665.31771667962346,602
1,665.382777268539,613
1,665.44783586688959,630
1,665.5128924725791,609
1,665.5779470835115,613
1,665.64299969759088,619
1,665.708050312721,621
1,665.77309892680557,619
1,665.83814553774835,612
1,665.90319014345312,637
1,665.96823274182339,614
1,666.03327333076265,617
1,666.09831190817442,624
1,666.16334847196219,641
1,666.22838302002924,619
1,666.29341555027884,626
1,666.35844606061426,626
1,666.42347454893866,629
1,666.4885010131552,626
1,666.55352545116682,648
1,666.61854786087656,645
1,666.68356824018724,634
1,666.74858658700191,643
1,666.81360289922338,644
1,666.87861717475425,632
1,666.94362941149745,633
1,667.00863960735535,644
1,667.07364776023064,642
1,667.13865386802581,635
1,667.20365792864334,630
1,667.2686599399857,640
1,667.33365989995514,628
1,667.39865780645391,629
1,667.4636536573845,613
1,667.5286474506488,614
1,667.59363918414908,617
1,667.65862885578747,614
1,667.72361646346587,607
1,667.78860200508609,596
1,667.85358547855026,593
1,667.9185668817604,595
1,667.983546212618,593
1,668.04852346902476,585
1,668.11349864888268,596
1,668.17847175009308,594
1,668.24344277055775,599
1,668.30841170817826,597
1,668.37337856085583,591
1,668.43834332649215,589
1,668.50330600298855,593
1,668.56826658824616,594
1,668.63322508016654,589
1,668.6981814766508,600
1,668.76313577560006,588
1,668.82808797491532,601
1,668.893038072498,599
1,668.95798606624885,602
1,669.02293195406912,590
1,669.08787573385951,603
1,669.15281740352077,594
1,669.21775696095415,588
1,669.28269440406007,591
1,669.34762973073941,593
1,669.41256293889285,585
1,669.477494026421,596
1,669.5424229912245,593
1,669.60734983120392,586
1,669.67227454425972,580
1,669.73719712829234,595
1,669.8021175812022,597
1,669.86703590088973,602
1,669.93195208525515,600
1,669.99686613219876,608
1,670.06177803962089,611
1,670.12668780542174,621
1,670.19159542750128,628
1,670.25650090375984,618
1,670.321404232097,636
1,670.38630541041346,644
1,670.45120443660869,638
1,670.516101308583,638
1,670.5809960242359,652
1,670.64588858146737,647
1,670.71077897817736,683
1,670.77566721226549,687
1,670.84055328163151,688
1,670.90543718417507,684
1,670.97031891779591,705
1,671.03519848039355,703
1,671.10007586986762,694
1,671.16495108411755,710
1,671.22982412104284,729
1,671.29469497854313,724
1,671.35956365451761,731
1,671.42443014686569,737
1,671.48929445348676,724
1,671.55415657228,736
1,671.61901650114487,727
1,671.68387423798038,756
1,671.74872978068584,766
1,671.81358312716043,730
1,671.87843427530311,742
1,671.943283223013,746
1,672.00812996818945,749
1,672.07297450873091,769
1,672.13781684253672,754
1,672.20265696750573,780
1,672.267494881537,762
1,672.332330582529,785
1,672.39716406838113,751
1,672.46199533699155,776
1,672.52682438625948,803
1,672.59165121408364,770
1,672.65647581836254,811
1,672.72129819699478,751
1,672.78611834787921,796
1,672.85093626891444,782
1,672.915751957999,786
1,672.9805654130314,803
1,673.04537663191013,830
1,673.11018561253377,776
1,673.1749923528007,808
1,673.23979685060931,819
1,673.3045991038581,841
1,673.36939911044533,795
1,673.43419686826951,826
1,673.49899237522868,816
1,673.56378562922123,859
1,673.62857662814565,805
1,673.69336536989977,853
1,673.75815185238218,806
1,673.82293607349061,854
1,673.88771803112365,830
1,673.952497723179,845
1,674.0172751475551,852
1,674.08205030214981,862
1,674.14682318486132,890
1,674.21159379358755,878
1,674.27636212622633,882
1,674.34112818067592,872
1,674.405891954834,911
1,674.47065344659882,873
1,674.53541265386787,881
1,674.60016957453922,884
1,674.66492420651082,882
1,674.72967654768036,874
1,674.79442659594554,914
1,674.8591743492043,906
1,674.92391980535444,926
1,674.98866296229346,966
1,675.05340381791927,954
1,675.11814237012959,979
1,675.182878616822,923
1,675.24761255589408,923
1,675.31234418524355,951
1,675.377073502768,958
1,675.44180050636487,953
1,675.506525193932,1007
1,675.57124756336691,953
1,675.635967612567,976
1,675.70068533942992,996
1,675.76540074185289,1018
1,675.83011381773372,997
1,675.89482456496955,987
1,675.95953298145821,972
1,676.02423906509682,999
1,676.08894281378286,1016
1,676.15364422541381,1004
1,676.218343297887,1052
1,676.28304002909977,1038
1,676.34773441694938,1016
1,676.41242645933335,1033
1,676.47711615414892,1055
1,676.54180349929345,1044
1,676.60648849266408,1057
1,676.67117113215818,1070
1,676.7358514156731,1056
1,676.80052934110586,1089
1,676.86520490635382,1083
1,676.92987810931425,1107
1,676.99454894788437,1103
1,677.05921741996133,1135
1,677.12388352344226,1130
1,677.18854725622441,1109
