Frame,Wavelength,Intensity
1,661.93187502224248,619
1,661.99703623401865,610
1,662.062195564123,605
1,662.12735301046348,597
1,662.19250857094789,605
1,662.25766224348376,603
1,662.32281402597869,595
1,662.38796391634037,598
1,662.45311191247572,600
1,662.51825801229245,604
1,662.58340221369781,603
1,662.64854451459894,601
1,662.71368491290275,608
1,662.77882340651649,611
1,662.843959993347,597
1,662.9090946713012,599
1,662.97422743828577,596
1,663.03935829220745,612
1,663.10448723097306,612
1,663.16961425248894,605
1,663.23473935466177,600
1,663.29986253539778,606
1,663.36498379260343,602
1,663.430103124185,593
1,663.49522052804855,612
1,663.56033600210037,596
1,663.62544954424629,604
1,663.69056115239255,603
1,663.75567082444491,604
1,663.82077855830914,611
1,663.885884351891,607
1,663.95098820309636,602
1,664.01609010983066,609
1,664.08119006999948,600
1,664.14628808150826,599
1,664.21138414226243,603
1,664.27647825016732,612
1,664.34157040312812,615
1,664.40666059905016,610
1,664.47174883583853,616
1,664.53683511139832,613
1,664.60191942363429,612
1,664.66700177045141,603
1,664.73208214975477,607
1,664.7971605594488,612
1,664.86223699743846,607
1,664.92731146162851,610
1,664.99238394992312,597
1,665.05745446022706,617
1,665.12252299044485,610
1,665.18758953848055,611
1,665.25265410223858,621
1,665.31771667962346,615
1,665.382777268539,620
1,665.44783586688959,610
1,665.5128924725791,614
1,665.5779470835115,619
1,665.64299969759088,608
1,665.708050312721,620
1,665.77309892680557,625
1,665.83814553774835,623
1,665.90319014345312,616
1,665.96823274182339,608
1,666.03327333076265,623
1,666.09831190817442,625
1,666.16334847196219,621
1,666.22838302002924,622
1,666.29341555027884,623
1,666.35844606061426,637
1,666.42347454893866,619
1,666.4885010131552,623
1,666.55352545116682,623
1,666.61854786087656,632
1,666.68356824018724,625
1,666.74858658700191,641
1,666.81360289922338,622
1,666.87861717475425,614
1,666.94362941149745,646
1,667.00863960735535,639
1,667.07364776023064,630
1,667.13865386802581,619
1,667.20365792864334,636
1,667.2686599399857,630
1,667.33365989995514,634
1,667.39865780645391,660
1,667.4636536573845,639
1,667.5286474506488,642
1,667.59363918414908,624
1,667.65862885578747,636
1,667.72361646346587,654
1,667.78860200508609,640
1,667.85358547855026,629
1,667.9185668817604,628
1,667.983546212618,645
1,668.04852346902476,623
1,668.11349864888268,632
1,668.17847175009308,641
1,668.24344277055775,629
1,668.30841170817826,625
1,668.37337856085583,617
1,668.43834332649215,617
1,668.50330600298855,598
1,668.56826658824616,604
1,668.63322508016654,616
1,668.6981814766508,597
1,668.76313577560006,582
1,668.82808797491532,582
1,668.893038072498,583
1,668.95798606624885,587
1,669.02293195406912,582
1,669.08787573385951,584
1,669.15281740352077,582
1,669.21775696095415,593
1,669.28269440406007,580
1,669.34762973073941,578
1,669.41256293889285,580
1,669.477494026421,588
1,669.5424229912245,589
1,669.60734983120392,589
1,669.67227454425972,580
1,669.73719712829234,592
1,669.8021175812022,596
1,669.86703590088973,580
1,669.93195208525515,596
1,669.99686613219876,589
1,670.06177803962089,586
1,670.12668780542174,588
1,670.19159542750128,588
1,670.25650090375984,590
1,670.321404232097,592
1,670.38630541041346,593
1,670.45120443660869,592
1,670.516101308583,596
1,670.5809960242359,585
1,670.64588858146737,589
1,670.71077897817736,583
1,670.77566721226549,594
1,670.84055328163151,583
1,670.90543718417507,612
1,670.97031891779591,597
1,671.03519848039355,616
1,671.10007586986762,611
1,671.16495108411755,614
1,671.22982412104284,624
1,671.29469497854313,642
1,671.35956365451761,632
1,671.42443014686569,632
1,671.48929445348676,668
1,671.55415657228,660
1,671.61901650114487,668
1,671.68387423798038,661
1,671.74872978068584,701
1,671.81358312716043,713
1,671.87843427530311,682
1,671.943283223013,702
1,672.00812996818945,704
1,672.07297450873091,708
1,672.13781684253672,706
1,672.20265696750573,738
1,672.267494881537,740
1,672.332330582529,741
1,672.39716406838113,732
1,672.46199533699155,753
1,672.52682438625948,779
1,672.59165121408364,760
1,672.65647581836254,772
1,672.72129819699478,769
1,672.78611834787921,796
1,672.85093626891444,764
1,672.915751957999,786
1,672.9805654130314,791
1,673.04537663191013,783
1,673.11018561253377,792
1,673.1749923528007,790
1,673.23979685060931,804
1,673.3045991038581,797
1,673.36939911044533,843
1,673.43419686826951,799
1,673.49899237522868,811
1,673.56378562922123,770
1,673.62857662814565,811
1,673.69336536989977,777
1,673.75815185238218,792
1,673.82293607349061,822
1,673.88771803112365,816
1,673.952497723179,822
1,674.0172751475551,817
1,674.08205030214981,847
1,674.14682318486132,836
1,674.21159379358755,871
1,674.27636212622633,860
1,674.34112818067592,851
1,674.405891954834,884
1,674.47065344659882,862
1,674.53541265386787,861
1,674.60016957453922,881
1,674.66492420651082,871
1,674.72967654768036,880
1,674.79442659594554,900
1,674.8591743492043,912
1,674.92391980535444,868
1,674.98866296229346,882
1,675.05340381791927,892
1,675.11814237012959,893
1,675.182878616822,893
1,675.24761255589408,928
1,675.31234418524355,898
1,675.377073502768,924
1,675.44180050636487,895
1,675.506525193932,949
1,675.57124756336691,939
1,675.635967612567,959
1,675.70068533942992,938
1,675.76540074185289,957
1,675.83011381773372,944
1,675.89482456496955,960
1,675.95953298145821,947
1,676.02423906509682,959
1,676.08894281378286,963
1,676.15364422541381,957
1,676.218343297887,1008
1,676.28304002909977,957
1,676.34773441694938,992
1,676.41242645933335,1019
1,676.47711615414892,991
1,676.54180349929345,1031
1,676.60648849266408,1024
1,676.67117113215818,1010
1,676.7358514156731,998
1,676.80052934110586,1046
1,676.86520490635382,1013
1,676.92987810931425,1055
1,676.99454894788437,1008
1,677.05921741996133,1021
1,677.12388352344226,1088
1,677.18854725622441,1050
1,677.2532086162048,1090
1,677.31786760128091,1044
1,677.38252420934941,1054
1,677.447178438308,1081
1,677.51183028605328,1078
1,677.57647975048269,1064
1,677.64112682949315,1070
1,677.7057715209819,1089
1,677.77041382284585,1120
1,677.83505373298237,1100
1,677.89969124928825,1134
1,677.96432636966051,1129
1,678.02895909199651,1153
1,678.09358941419316,1102
1,678.15821733414725,1182
1,678.22284284975626,1154
1,678.28746595891687,1159
1,678.35208665952621,1150
1,678.4167049494813,1164
1,678.481320826679,1169
1,678.54593428901671,1112
1,678.61054533439108,1190
1,678.67515396069916,1247
1,678.73976016583811,1191
1,678.8043639477047,1228
1,678.868965304196,1202
1,678.933564233209,1180
1,678.99816073264071,1270
1,679.062754800388,1260
1,679.127346434348,1196
1,679.19193563241765,1238
1,679.25652239249382,1264
1,679.32110671247335,1299
1,679.38568859025349,1300
1,679.450268023731,1270
1,679.514845010803,1271
