Frame,Wavelength,Intensity
1,661.93187502224248,600
1,661.99703623401865,592
1,662.062195564123,595
1,662.12735301046348,593
1,662.19250857094789,591
1,662.25766224348376,585
1,662.32281402597869,582
1,662.38796391634037,594
1,662.45311191247572,597
1,662.51825801229245,591
1,662.58340221369781,589
1,662.64854451459894,585
1,662.71368491290275,598
1,662.77882340651649,593
1,662.843959993347,584
1,662.9090946713012,590
1,662.97422743828577,593
1,663.03935829220745,593
1,663.10448723097306,593
1,663.16961425248894,587
1,663.23473935466177,593
1,663.29986253539778,592
1,663.36498379260343,589
1,663.430103124185,597
1,663.49522052804855,592
1,663.56033600210037,590
1,663.62544954424629,585
1,663.69056115239255,583
1,663.75567082444491,588
1,663.82077855830914,590
1,663.885884351891,587
1,663.95098820309636,586
1,664.01609010983066,591
1,664.08119006999948,594
1,664.14628808150826,595
1,664.21138414226243,586
1,664.27647825016732,583
1,664.34157040312812,578
1,664.40666059905016,592
1,664.47174883583853,597
1,664.53683511139832,588
1,664.60191942363429,586
1,664.66700177045141,592
1,664.73208214975477,591
1,664.7971605594488,593
1,664.86223699743846,597
1,664.92731146162851,585
1,664.99238394992312,595
1,665.05745446022706,592
1,665.12252299044485,598
1,665.18758953848055,592
1,665.25265410223858,585
1,665.31771667962346,588
1,665.382777268539,599
1,665.44783586688959,584
1,665.5128924725791,584
1,665.5779470835115,584
1,665.64299969759088,583
1,665.708050312721,585
1,665.77309892680557,593
1,665.83814553774835,584
1,665.90319014345312,595
1,665.96823274182339,588
1,666.03327333076265,588
1,666.09831190817442,586
1,666.16334847196219,596
1,666.22838302002924,591
1,666.29341555027884,595
1,666.35844606061426,582
1,666.42347454893866,592
1,666.4885010131552,593
1,666.55352545116682,593
1,666.61854786087656,589
1,666.68356824018724,585
1,666.74858658700191,592
1,666.81360289922338,592
1,666.87861717475425,594
1,666.94362941149745,596
1,667.00863960735535,590
1,667.07364776023064,590
1,667.13865386802581,591
1,667.20365792864334,600
1,667.2686599399857,591
1,667.33365989995514,587
1,667.39865780645391,598
1,667.4636536573845,597
1,667.5286474506488,588
1,667.59363918414908,584
1,667.65862885578747,579
1,667.72361646346587,590
1,667.78860200508609,581
1,667.85358547855026,597
1,667.9185668817604,582
1,667.983546212618,597
1,668.04852346902476,586
1,668.11349864888268,584
1,668.17847175009308,584
1,668.24344277055775,582
1,668.30841170817826,588
1,668.37337856085583,584
1,668.43834332649215,586
1,668.50330600298855,585
1,668.56826658824616,590
1,668.63322508016654,590
1,668.6981814766508,586
1,668.76313577560006,587
1,668.82808797491532,586
1,668.893038072498,591
1,668.95798606624885,586
1,669.02293195406912,593
1,669.08787573385951,586
1,669.15281740352077,593
1,669.21775696095415,588
1,669.28269440406007,590
1,669.34762973073941,589
1,669.41256293889285,587
1,669.477494026421,596
1,669.5424229912245,595
1,669.60734983120392,587
1,669.67227454425972,584
1,669.73719712829234,588
1,669.8021175812022,589
1,669.86703590088973,587
1,669.93195208525515,583
1,669.99686613219876,587
1,670.06177803962089,592
1,670.12668780542174,595
1,670.19159542750128,588
1,670.25650090375984,597
1,670.321404232097,583
1,670.38630541041346,590
1,670.45120443660869,582
1,670.516101308583,589
1,670.5809960242359,595
1,670.64588858146737,586
1,670.71077897817736,592
1,670.77566721226549,596
1,670.84055328163151,589
1,670.90543718417507,585
1,670.97031891779591,595
1,671.03519848039355,587
1,671.10007586986762,585
1,671.16495108411755,596
1,671.22982412104284,583
1,671.29469497854313,584
1,671.35956365451761,590
1,671.42443014686569,596
1,671.48929445348676,584
1,671.55415657228,587
1,671.61901650114487,593
1,671.68387423798038,591
1,671.74872978068584,585
1,671.81358312716043,590
1,671.87843427530311,588
1,671.943283223013,582
1,672.00812996818945,592
1,672.07297450873091,593
1,672.13781684253672,589
1,672.20265696750573,585
1,672.267494881537,589
1,672.332330582529,580
1,672.39716406838113,588
1,672.46199533699155,600
1,672.52682438625948,586
1,672.59165121408364,594
1,672.65647581836254,584
1,672.72129819699478,589
1,672.78611834787921,589
1,672.85093626891444,590
1,672.915751957999,602
1,672.9805654130314,586
1,673.04537663191013,581
1,673.11018561253377,586
1,673.1749923528007,591
1,673.23979685060931,586
1,673.3045991038581,584
1,673.36939911044533,588
1,673.43419686826951,591
1,673.49899237522868,597
1,673.56378562922123,588
1,673.62857662814565,585
1,673.69336536989977,586
1,673.75815185238218,585
1,673.82293607349061,593
1,673.88771803112365,595
1,673.952497723179,589
1,674.0172751475551,588
1,674.08205030214981,584
1,674.14682318486132,584
1,674.21159379358755,594
1,674.27636212622633,589
1,674.34112818067592,588
1,674.405891954834,590
1,674.47065344659882,591
1,674.53541265386787,595
1,674.60016957453922,593
1,674.66492420651082,581
1,674.72967654768036,587
1,674.79442659594554,585
1,674.8591743492043,590
1,674.92391980535444,598
1,674.98866296229346,589
1,675.05340381791927,584
1,675.11814237012959,593
1,675.182878616822,590
1,675.24761255589408,590
1,675.31234418524355,590
1,675.377073502768,592
1,675.44180050636487,589
1,675.506525193932,588
1,675.57124756336691,592
1,675.635967612567,590
1,675.70068533942992,592
1,675.76540074185289,591
1,675.83011381773372,581
1,675.89482456496955,583
1,675.95953298145821,583
1,676.02423906509682,583
1,676.08894281378286,591
1,676.15364422541381,586
1,676.218343297887,593
1,676.28304002909977,586
1,676.34773441694938,589
1,676.41242645933335,597
1,676.47711615414892,595
1,676.54180349929345,592
1,676.60648849266408,590
1,676.67117113215818,577
1,676.7358514156731,587
1,676.80052934110586,595
1,676.86520490635382,589
1,676.92987810931425,587
1,676.99454894788437,589
1,677.05921741996133,585
1,677.12388352344226,587
1,677.18854725622441,599
1,677.2532086162048,581
1,677.31786760128091,588
1,677.38252420934941,585
1,677.447178438308,583
1,677.51183028605328,586
1,677.57647975048269,586
1,677.64112682949315,592
1,677.7057715209819,593
1,677.77041382284585,588
1,677.83505373298237,592
1,677.89969124928825,584
1,677.96432636966051,585
1,678.02895909199651,591
1,678.09358941419316,587
