Frame,Wavelength,Intensity
1,661.93187502224248,629
1,661.99703623401865,614
1,662.062195564123,612
1,662.12735301046348,605
1,662.19250857094789,599
1,662.25766224348376,617
1,662.32281402597869,599
1,662.38796391634037,609
1,662.45311191247572,604
1,662.51825801229245,602
1,662.58340221369781,602
1,662.64854451459894,612
1,662.71368491290275,615
1,662.77882340651649,604
1,662.843959993347,594
1,662.9090946713012,614
1,662.97422743828577,616
1,663.03935829220745,610
1,663.10448723097306,608
1,663.16961425248894,613
1,663.23473935466177,600
1,663.29986253539778,614
1,663.36498379260343,600
1,663.430103124185,616
1,663.49522052804855,610
1,663.56033600210037,602
1,663.62544954424629,618
1,663.69056115239255,601
1,663.75567082444491,606
1,663.82077855830914,606
1,663.885884351891,609
1,663.95098820309636,615
1,664.01609010983066,609
1,664.08119006999948,609
1,664.14628808150826,610
1,664.21138414226243,606
1,664.27647825016732,619
1,664.34157040312812,604
1,664.40666059905016,624
1,664.47174883583853,618
1,664.53683511139832,613
1,664.60191942363429,615
1,664.66700177045141,609
1,664.73208214975477,626
1,664.7971605594488,606
1,664.86223699743846,611
1,664.92731146162851,627
1,664.99238394992312,625
1,665.05745446022706,625
1,665.12252299044485,607
1,665.18758953848055,624
1,665.25265410223858,610
1,665.31771667962346,622
1,665.382777268539,631
1,665.44783586688959,616
1,665.5128924725791,629
1,665.5779470835115,622
1,665.64299969759088,625
1,665.708050312721,621
1,665.77309892680557,637
1,665.83814553774835,627
1,665.90319014345312,620
1,665.96823274182339,632
1,666.03327333076265,635
1,666.09831190817442,623
1,666.16334847196219,629
1,666.22838302002924,630
1,666.29341555027884,646
1,666.35844606061426,623
1,666.42347454893866,636
1,666.4885010131552,645
1,666.55352545116682,656
1,666.61854786087656,642
1,666.68356824018724,637
1,666.74858658700191,632
1,666.81360289922338,653
1,666.87861717475425,649
1,666.94362941149745,645
1,667.00863960735535,652
1,667.07364776023064,639
1,667.13865386802581,651
1,667.20365792864334,629
1,667.2686599399857,661
1,667.33365989995514,654
1,667.39865780645391,627
1,667.4636536573845,629
1,667.5286474506488,632
1,667.59363918414908,607
1,667.65862885578747,605
1,667.72361646346587,603
1,667.78860200508609,601
1,667.85358547855026,592
1,667.9185668817604,586
1,667.983546212618,587
1,668.04852346902476,593
1,668.11349864888268,587
1,668.17847175009308,593
1,668.24344277055775,593
1,668.30841170817826,605
1,668.37337856085583,592
1,668.43834332649215,586
1,668.50330600298855,603
1,668.56826658824616,593
1,668.63322508016654,599
1,668.6981814766508,600
1,668.76313577560006,606
1,668.82808797491532,595
1,668.893038072498,597
1,668.95798606624885,597
