Frame,Wavelength,Intensity
1,661.93187502224248,616
1,661.99703623401865,620
1,662.062195564123,598
1,662.12735301046348,598
1,662.19250857094789,612
1,662.25766224348376,621
1,662.32281402597869,597
1,662.38796391634037,595
1,662.45311191247572,599
1,662.51825801229245,606
1,662.58340221369781,599
1,662.64854451459894,616
1,662.71368491290275,604
1,662.77882340651649,602
1,662.843959993347,609
1,662.9090946713012,598
1,662.97422743828577,603
1,663.03935829220745,594
1,663.10448723097306,607
1,663.16961425248894,609
1,663.23473935466177,605
1,663.29986253539778,601
1,663.36498379260343,623
1,663.430103124185,609
1,663.49522052804855,605
1,663.56033600210037,614
1,663.62544954424629,614
1,663.69056115239255,607
1,663.75567082444491,617
1,663.82077855830914,604
1,663.885884351891,621
1,663.95098820309636,598
1,664.01609010983066,607
1,664.08119006999948,612
1,664.14628808150826,617
1,664.21138414226243,626
1,664.27647825016732,613
1,664.34157040312812,615
1,664.40666059905016,621
1,664.47174883583853,610
1,664.53683511139832,622
1,664.60191942363429,619
1,664.66700177045141,620
1,664.73208214975477,631
1,664.7971605594488,619
1,664.86223699743846,623
1,664.92731146162851,619
1,664.99238394992312,621
1,665.05745446022706,625
1,665.12252299044485,623
1,665.18758953848055,618
1,665.25265410223858,629
1,665.31771667962346,640
1,665.382777268539,618
1,665.44783586688959,629
1,665.5128924725791,630
1,665.5779470835115,624
1,665.64299969759088,634
1,665.708050312721,626
1,665.77309892680557,636
1,665.83814553774835,625
1,665.90319014345312,633
1,665.96823274182339,633
1,666.03327333076265,635
1,666.09831190817442,616
1,666.16334847196219,611
1,666.22838302002924,629
1,666.29341555027884,635
1,666.35844606061426,632
1,666.42347454893866,630
1,666.4885010131552,616
1,666.55352545116682,651
1,666.61854786087656,637
1,666.68356824018724,636
1,666.74858658700191,640
1,666.81360289922338,627
1,666.87861717475425,631
1,666.94362941149745,652
1,667.00863960735535,638
1,667.07364776023064,657
1,667.13865386802581,643
1,667.20365792864334,652
1,667.2686599399857,656
1,667.33365989995514,649
1,667.39865780645391,642
1,667.4636536573845,652
1,667.5286474506488,656
1,667.59363918414908,655
1,667.65862885578747,633
1,667.72361646346587,654
1,667.78860200508609,657
1,667.85358547855026,659
1,667.9185668817604,664
1,667.983546212618,650
1,668.04852346902476,634
1,668.11349864888268,663
1,668.17847175009308,640
1,668.24344277055775,660
1,668.30841170817826,639
1,668.37337856085583,633
1,668.43834332649215,624
1,668.50330600298855,621
1,668.56826658824616,618
1,668.63322508016654,609
1,668.6981814766508,605
1,668.76313577560006,600
1,668.82808797491532,594
1,668.893038072498,589
1,668.95798606624885,589
1,669.02293195406912,585
1,669.08787573385951,592
1,669.15281740352077,585
1,669.21775696095415,587
